Brand Name,Smartphone Name,Color of Phone,RAM,ROM,Primary Camera,Secondary Camera,Display Size,Battery Capacity,Price,Product URL
Micromax,IN 2C,Brown,3 GB RAM ,32 GB ROM,8MP Rear Camera,5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,5000 mAh Battery,"₹5,999",https://www.flipkart.com/micromax-2c-brown-32-gb/p/itm1c641ec8dd5c0?pid=MOBGDCF2NPEHJVTY&lid=LSTMOBGDCF2NPEHJVTYIXDHGC&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGDCF2NPEHJVTY.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
REDMI,10A,Charcoal Black,3 GB RAM ,32 GB ROM,13MP Rear Camera,-,16.59 cm (6.53 inch) Display,5000 mAh Battery,"₹8,999",https://www.flipkart.com/redmi-10a-charcoal-black-32-gb/p/itmab0d50e81ec2e?pid=MOBGDRGHYWAAZDVD&lid=LSTMOBGDRGHYWAAZDVDBFIWVR&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGDRGHYWAAZDVD.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
MOTOROLA,edge 30,Meteor Grey,6 GB RAM ,128 GB ROM,50MP + 50MP + 2MP,32MP Front Camera,16.64 cm (6.55 inch) Full HD+ Display,4020 mAh Lithium Battery,"₹22,999",https://www.flipkart.com/motorola-edge-30-meteor-grey-128-gb/p/itma02c4f5bca2df?pid=MOBGDCYGCZCYGYYZ&lid=LSTMOBGDCYGCZCYGYYZDNNWFQ&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGDCYGCZCYGYYZ.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
realme,GT Neo 3T,Drifting White,8 GB RAM ,256 GB ROM,64MP + 8MP + 2MP,16MP Front Camera,16.81 cm (6.62 inch) Full HD+ AMOLED Display,5000 mAh Lithium Ion Battery,"₹26,999",https://www.flipkart.com/realme-gt-neo-3t-drifting-white-256-gb/p/itmd1b8c6a6c8604?pid=MOBGHBJGVYZ4EATR&lid=LSTMOBGHBJGVYZ4EATRMCWJPR&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGHBJGVYZ4EATR.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
vivo,T1 44W,Starry Sky,4 GB RAM ,128 GB ROM,50MP + 2MP + 2MP,16MP Front Camera,16.36 cm (6.44 inch) Full HD+ AMOLED Display,5000 mAh Lithium Battery,"₹14,499",https://www.flipkart.com/vivo-t1-44w-starry-sky-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVHNBBBBP5&lid=LSTMOBGDRHVHNBBBBP5HUNCJV&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGDRHVHNBBBBP5.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
vivo,T1 44W,Ice Dawn,4 GB RAM ,128 GB ROM,50MP + 2MP + 2MP,16MP Front Camera,16.36 cm (6.44 inch) Full HD+ AMOLED Display,5000 mAh Lithium Battery,"₹14,499",https://www.flipkart.com/vivo-t1-44w-ice-dawn-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVKYHCVG7W&lid=LSTMOBGDRHVKYHCVG7WR2M8P3&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGDRHVKYHCVG7W.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
vivo,T1 44W,Starry Sky,6 GB RAM ,128 GB ROM,50MP + 2MP + 2MP,16MP Front Camera,16.36 cm (6.44 inch) Full HD+ AMOLED Display,5000 mAh Lithium Battery,"₹15,999",https://www.flipkart.com/vivo-t1-44w-starry-sky-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVMW2UDXZY&lid=LSTMOBGDRHVMW2UDXZYYP1PL3&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGDRHVMW2UDXZY.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
vivo,T1 44W,Midnight Galaxy,6 GB RAM ,128 GB ROM,50MP + 2MP + 2MP,16MP Front Camera,16.36 cm (6.44 inch) Full HD+ AMOLED Display,5000 mAh Lithium Battery,"₹15,999",https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVXFVCGS23&lid=LSTMOBGDRHVXFVCGS23BNMEFR&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGDRHVXFVCGS23.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
vivo,T1 44W,Midnight Galaxy,4 GB RAM ,128 GB ROM,50MP + 2MP + 2MP,16MP Front Camera,16.36 cm (6.44 inch) Full HD+ AMOLED Display,5000 mAh Lithium Battery,"₹14,499",https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVZN29ZJF4&lid=LSTMOBGDRHVZN29ZJF4QZYS9W&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGDRHVZN29ZJF4.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
vivo,T1 44W,Midnight Galaxy,8 GB RAM ,128 GB ROM,50MP + 2MP + 2MP,16MP Front Camera,16.36 cm (6.44 inch) Full HD+ AMOLED Display,5000 mAh Lithium Battery,"₹17,999",https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVWJUFTYQJ&lid=LSTMOBGDRHVWJUFTYQJ2SYXAC&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGDRHVWJUFTYQJ.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
OPPO,F21 Pro,Sunset Orange,8 GB RAM ,128 GB ROM,108MP Rear Camera,-,16.33 cm (6.43 inch) Display,4500 mAh Battery,"₹20,999",https://www.flipkart.com/oppo-f21-pro-sunset-orange-128-gb/p/itm2e204aa2f6ac7?pid=MOBGDECUFTXAAGYU&lid=LSTMOBGDECUFTXAAGYUCI3IWK&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGDECUFTXAAGYU.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
vivo,Y16,Steller Black,3 GB RAM ,64 GB ROM,13MP + 2MP,5MP Front Camera,16.54 cm (6.51 inch) HD+ Display,5000 mAh Lithium Battery,"₹10,999",https://www.flipkart.com/vivo-y16-steller-black-64-gb/p/itm72f3a9786718b?pid=MOBGHV2FHM9BVYCF&lid=LSTMOBGHV2FHM9BVYCFEOBBNQ&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGHV2FHM9BVYCF.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
MOTOROLA,Edge 30,Meteor Grey,8 GB RAM ,128 GB ROM,50MP + 50MP + 2MP,32MP Front Camera,16.64 cm (6.55 inch) Full HD+ Display,4020 mAh Lithium Battery,"₹24,999",https://www.flipkart.com/motorola-edge-30-meteor-grey-128-gb/p/itmb93fab2af209f?pid=MOBGAKFYPFFYGUTP&lid=LSTMOBGAKFYPFFYGUTPQXPLKW&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGAKFYPFFYGUTP.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
Google,Pixel 7,Obsidian,8 GB RAM ,128 GB ROM,50MP + 12MP,10.8MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,4270 mAh Battery,"₹55,999",https://www.flipkart.com/google-pixel-7-obsidian-128-gb/p/itm45d75002be0e7?pid=MOBGHW44NHFZJN6N&lid=LSTMOBGHW44NHFZJN6NICUEYB&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGHW44NHFZJN6N.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
